,idle,login,logout,noattachment,attachment,answer,delete
gmail_adblock,205.3318031485378,10677.783264329728,3153.9412423188865,2628.179643783887,2957.2491000928544,710.9586204555087,1280.5760578739553
gmail_noadblock,2.7233921188874817,167.58090583357043,83.25478965200742,2791.364655504544,1442.5509349759543,3194.4486472629355,2543.3613663811125
outlook_adblock,172.65547993322036,9011.609942734982,3614.2590056607733,2295.764325883648,3697.6578857433524,2047.8617726790058,2335.1485091959353
outlook_noadblock,232.93246477772,9267.3806137441,3448.914345123694,9801.164694055498,1660.6518479199665,1145.3464803281145,1461.884072011184
proton_adblock,34.494587344160976,2948.396757561641,938.0939398589035,1623.3113071743203,1096.312619648246,1373.692600256695,4949.999620202006
proton_noadblock,33.45069237821375,4003.424614002367,5006.481023633267,1960.139444019226,3670.0217765021503,1925.752881342775,1788.4517997418884
