,idle,login,logout,noattachment,attachment,answer,delete
gmail_adblock,998570.046152573,45971156.63637169,20791638.22477148,18396086.389097948,264712184.4077544,642778445.1113985,40424196.97470702
gmail_noadblock,2691682.1988948225,163368878.60443467,67877071.02527612,181919962.21557018,431195543.5148391,11772927.203155506,488652422.2540769
outlook_adblock,113243887.25901487,5930594553.239662,2535372026.83412,479468709.40678984,1118673185.4641166,469915778.8010152,140142319.04785064
outlook_noadblock,11583932.273426706,597718235.848118,270555237.50215054,537935153.539229,3308612746.5553694,950346402.519155,1225137039.1467783
proton_adblock,12054553.040696295,613350055.4281822,262891595.9040001,23550295.51457363,1077227361.6198123,71166358.6858935,2257738.634883976
proton_noadblock,6574783.833136364,304175372.38963777,808999232.9291455,591118805.1762861,300017041.59441876,70032201.26902613,484126742.8682561
