,idle,login,logout,noattachment,attachment,answer,delete
gmail_adblock,3344.8210699640317,378217.4,91751.4,394209.0,697066.0,356899.0,230209.2
gmail_noadblock,2035.1446583749414,273098.4,89180.6,357878.4,681198.0,470505.4,289540.2
outlook_adblock,2326.943082746514,464596.0,69301.6,362421.2,624004.0,387822.4,270010.6
outlook_noadblock,3806.384848211368,485824.6,83870.6,394312.8,565955.6,374438.6,242336.2
proton_adblock,4037.6763328937946,467919.8,94391.8,441940.6,596402.6,321979.0,294216.2
proton_noadblock,4278.145033444736,467158.8,100235.4,395285.6,624240.6,314071.8,253111.4
