,idle,login,logout,noattachment,attachment,answer,delete
gmail_adblock,1282.395238611492,89054.4,26150.2,96228.4,154304.6,100808.2,81911.4
gmail_noadblock,975.8433736969389,74099.2,23372.2,93702.6,149642.0,107151.2,83562.6
outlook_adblock,1060.8241248316651,86398.2,24078.2,90811.6,148996.6,98184.6,83394.8
outlook_noadblock,1343.7762616280133,96409.4,29104.2,89617.8,148300.8,98423.2,82220.4
proton_adblock,1427.5247451493676,100196.4,30932.4,102955.0,157910.8,98729.8,84504.6
proton_noadblock,1409.1092624859589,101488.6,32943.4,104900.6,159020.6,97366.8,84517.4
