,idle,login,logout,noattachment,attachment,answer,delete
gmail_adblock,1441.5687846182484,81790.06477464119,4856.157188559695,29141.770440383338,76829.537749488,18359.37272348922,22635.37943485817
gmail_noadblock,72.06818414020147,5648.4437715179565,1616.9087296443174,60662.5025814135,50110.70072948492,53777.04993991396,88791.7094472226
outlook_adblock,712.6072127450993,42948.64996248427,14978.799933238977,66562.92455534087,126065.46349575683,27423.234744282083,34835.45079139927
outlook_noadblock,2346.422410185817,113804.8008277331,19944.81010789524,81752.54962972103,42622.158868832536,18853.189126511195,25095.439564988694
proton_adblock,497.0901538883882,67912.78871140546,9741.820351453829,28340.841022100947,22169.777956488422,20537.063042217113,129744.71550148007
proton_noadblock,696.4130567968865,61838.74601704016,12229.71313809118,17232.87801384319,85155.82444342843,27071.797409111943,24716.72647904653
